cal_file,date,camera_make,camera_model,camera_serial,lens_make,lens_model,lens_serial,focal,lr_dist,tb_dist,llur_dist,ullr_dist,mlx,mly,mrx,mry,mtx,mty,mbx,mby,llx,lly,urx,ury,ulx,uly,lrx,lry
Report_RSAS_1177.pdf,1986-07-29,Park,,102A,Wild,Universal Aviogon,UAg458,152.992,223.811,223.814,316.567,316.525,-111.893,-0.021,111.918,0.021,-0.004,111.9,0.042,-111.914,-111.923,-111.919,111.92,111.931,-111.897,111.9,111.918,-111.919
Report_RSAS_1178.pdf,1986-07-30,Wild Heerbrugg,RC8,723,Wild,Universal Aviogon,UAg325,152.659,,,299.826,299.808,,,,,,,,,-106.001,-105.994,106.018,106.005,-105.992,106.003,106.003,-105.994
Report_RSAS_1188.pdf,1986-09-11,Wild Heerbrugg,RC5/8,302,Wild,Universal Aviogon,UAg389,152.02,219.995,220.001,299.815,299.789,-109.999,0.011,109.996,0.012,-0.003,110.006,-0.018,-109.995,-106.004,-105.994,105.997,106.007,-105.985,106.005,105.981,-105.994
Report_RSAS_1212.pdf,1986-12-23,Park,,104A,Wild,Universal Aviogon,UAg460,153.071,223.774,223.741,316.569,316.445,-111.872,-0.012,111.902,0.016,0.023,111.87,-0.036,-111.871,-111.962,-111.885,111.924,111.924,-111.879,111.884,111.873,-111.885
Report_RSAS_1214.pdf,1987-01-13,Wild Heerbrugg,RC8,715,Wild,Universal Aviogon,UAg55,152.158,219.993,220.007,299.828,299.799,-109.995,0.013,109.998,-0.006,0.018,110.005,-0.01,-110.002,-106.011,-105.996,106.018,105.995,-105.987,106.01,105.986,-105.996
Report_RSAS_1216.pdf,1987-01-13,Fairchild,KC-1,52-117,Curtis,Planigon,124,153.809,237.913,235.105,,,-120.461,-0.009,117.452,-0.009,-0.001,117.564,-0.053,-117.541,,,,,,,,
Report_RSAS_1219.pdf,1987-01-22,Park,,103A,Wild,Universal Aviogon,UAg459,153.33,223.761,223.786,316.551,316.52,-111.878,-0.003,111.883,0.01,-0.013,111.867,0.011,-111.919,-111.93,-111.915,111.902,111.924,-111.906,111.896,111.909,-111.915
Report_RSAS_1229.pdf,1987-02-20,Wild Heerbrugg,RC8,914,Wild,Universal Aviogon,UAg366,152.339,220.007,220.001,299.813,299.82,-110.018,0.009,109.99,-0.015,0.005,109.993,-0.024,-110.008,-106.012,-106.005,105.995,105.987,-106.008,106.002,105.994,-106.005
Report_RSAS_1230.pdf,1987-02-24,Wild Heerbrugg,RC8,1052,Wild,Universal Aviogon,UAg437,152.744,220.001,220.012,299.814,299.81,-110.011,0.001,109.99,0.011,-0.005,110.011,-0.004,-110.002,-105.999,-105.994,106.0,106.008,-106.005,106.004,105.993,-105.994
Report_RSAS_1234.pdf,1987-03-23,Wild Heerbrugg,RC8,297,Wild,Aviogon,Ag56,152.332,219.994,220.026,299.816,299.842,-110.001,-0.01,109.993,-0.014,-0.002,109.993,-0.002,-110.033,-106.003,-106.017,105.994,105.99,-106.004,105.997,106.021,-106.017
