ID,cal_file,marker_style,date,camera_make,camera_model,camera_serial,lens_make,lens_model,lens_serial,focal,lr_dist,tb_dist,llur_dist,ullr_dist,mlx,mly,mrx,mry,mtx,mty,mbx,mby,llx,lly,urx,ury,ulx,uly,lrx,lry
AR1VAHQ00010001 ,Report_2_2_156701.pdf,midside_notch,1959-03-19,Fairchild,T-11,54-011,Goerz,Planigon,1003,150.91,237.89,234.96,,,,,,,,,,,,,,,,,,
AR1VAHUX001X001,Report_2_2_163230.pdf,zeiss_mid,1960-08-17,Zeiss,RMK 15/23,21059,Zeiss,Pleogon,98079,153.07,226.03,226.03,,,,,,,,,,,,,,,,,,
AR1VAHZ0005X028 ,Report_232_05_203939.pdf,midside_notch,1971-04-23,Fairchild,KC-1B,GEH-111,Bausch and Lomb,Metrogon,XF6818,152.08,238.04,234.96,,,,,,,,,,,,,,,,,,
AR1VAIA00010001,Report_2_2_167814-1.pdf,small_flat,1961-08-23,Airagon,,290,Goerz,Planigon,290,151.33,222.45,222.52,,,,,,,,,,,,,,,,,,
AR1VAIB00010001,Report_2_2_167814-1.pdf,small_flat,1961-08-23,Airagon,,290,Goerz,Planigon,290,151.33,222.45,222.52,,,,,,,,,,,,,,,,,,
AR1VAIC00010001,Report_2_2_167814-1.pdf,small_flat,1961-08-23,Airagon,,290,Goerz,Planigon,290,151.33,222.45,222.52,,,,,,,,,,,,,,,,,,
AR1VAID00010065,Report_2_2_167926-1.pdf,zeiss_mid,1961-09-11,Zeiss,RMK 15/23,2115,Zeiss,Pleogon,9838,152.95,225.95,225.99,,,,,,,,,,,,,,,,,,
AR1VAIE00010001,Report_2_2_167926-1.pdf,zeiss_mid,1961-09-11,Zeiss,RMK 15/23,2115,Zeiss,Pleogon,9838,152.95,225.95,225.99,,,,,,,,,,,,,,,,,,
AR1VAIF00010001,Report_2_2_167814-3.pdf,airagon_round,1961-08-23,Airagon,,360,Goerz,Planigon,360,152.16,226.55,226.93,,,,,,,,,,,,,,,,,,
AR1VAIH00010001,Report_2_2_167814-2.pdf,small_flat,1961-08-23,Airagon,,348,Goerz,Planigon,348,151.96,222.41,222.25,,,,,,,,,,,,,,,,,,
AR1VAII00010002,Report_232_05_202970.pdf,wild_corner,1970-11-25,Wild Heerbrugg,RC8,360,Wild,Aviogon,Ag116,152.41,,,299.81,299.82,,,,,,,,,,,,,,,,
AR1VAIJ00010001,Report_2_2_167926-1.pdf,zeiss_mid,1961-09-11,Zeiss,RMK 15/23,2115,Zeiss,Pleogon,9838,152.95,225.95,225.99,,,,,,,,,,,,,,,,,,
AR1VAIK00010001,Report_2_2_155689-1.pdf,curved_flat,1958-12-19,Smith,,JZ1486,Bausch and Lomb,Cartogon,JZ1486,152.88,219.6,220.48,,,,,,,,,,,,,,,,,,
AR1VAIL00010001,Report_2_2_167814-3.pdf,airagon_round,1961-08-23,Airagon,,360,Goerz,Planigon,360,152.16,226.55,226.93,,,,,,,,,,,,,,,,,,
